Label,2020,Prediction in 2040,Change,Change in %
Asia,9503710,15130778,5627068,+59.2%
Europe,4398443,5323141,924698,+21.0%
Northern America,2556862,3525597,968735,+37.9%
Latin America and Caribbean,1470274,2435315,965041,+65.6%
Africa,1109209,2097365,988156,+89.1%
Oceania,254291,375744,121453,+47.8%
