Label,2020,Prediction in 2030,Change,Change in %
Asia,9503710,12290655,2786945,+29.3%
Europe,4398443,4913808,515365,+11.7%
Northern America,2556862,3070906,514044,+20.1%
Latin America and Caribbean,1470274,1925663,455389,+31.0%
Africa,1109209,1527194,417985,+37.7%
Oceania,254291,316180,61889,+24.3%
