Label,2020,Prediction in 2025,Change,Change in %
Asia,9503710,10865865,1362155,+14.3%
Europe,4398443,4662744,264301,+6.0%
Northern America,2556862,2815471,258609,+10.1%
Latin America and Caribbean,1470274,1688680,218406,+14.9%
Africa,1109209,1300771,191562,+17.3%
Oceania,254291,284914,30623,+12.0%
