Label,2020,Prediction in 2035,Change,Change in %
Asia,9503710,13738601,4234891,+44.6%
Europe,4398443,5142033,743590,+16.9%
Northern America,2556862,3317886,761024,+29.8%
Latin America and Caribbean,1470274,2177249,706975,+48.1%
Africa,1109209,1791960,682751,+61.6%
Oceania,254291,346793,92502,+36.4%
